Country, RedMeat(x), WhiteMeat(y),,, Eggs, Milk, Fish, Cereals, Starch, Nuts, Fr&Veg,y^2,x^2,x*y
Albania,10.1,1.4,,,0.5,8.9,0.2,42.3,0.6,5.5,1.7,1.96,102.01,14.14
Austria,8.9,14,,,4.3,19.9,2.1,28,3.6,1.3,4.3,196,79.21,124.6
Belgium,13.5,9.3,,,4.1,17.5,4.5,26.6,5.7,2.1,4,86.49,182.25,125.55
Bulgaria,7.8,6,,,1.6,8.3,1.2,56.7,1.1,3.7,4.2,36,60.84,46.8
Czechoslovakia,9.7,11.4,,,2.8,12.5,2,34.3,5,1.1,4,129.96,94.09,110.58
Denmark,10.6,10.8,,,3.7,25,9.9,21.9,4.8,0.7,2.4,116.64,112.36,114.48
E Germany,8.4,11.6,,,3.7,11.1,5.4,24.6,6.5,0.8,3.6,134.56,70.56,97.44
Finland,9.5,4.9,,,2.7,33.7,5.8,26.3,5.1,1,1.4,24.01,90.25,46.55
France,18,9.9,,,3.3,19.5,5.7,28.1,4.8,2.4,6.5,98.01,324,178.2
Greece,10.2,3,,,2.8,17.6,5.9,41.7,2.2,7.8,6.5,9,104.04,30.6
Hungary,5.3,12.4,,,2.9,9.7,0.3,40.1,4,5.4,4.2,153.76,28.09,65.72
Ireland,13.9,10,,,4.7,25.8,2.2,24,6.2,1.6,2.9,100,193.21,139
Italy,9,5.1,,,2.9,13.7,3.4,36.8,2.1,4.3,6.7,26.01,81,45.9
Netherlands,9.5,13.6,,,3.6,23.4,2.5,22.4,4.2,1.8,3.7,184.96,90.25,129.2
Norway,9.4,4.7,,,2.7,23.3,9.7,23,4.6,1.6,2.7,22.09,88.36,44.18
Poland,6.9,10.2,,,2.7,19.3,3,36.1,5.9,2,6.6,104.04,47.61,70.38
Portugal,6.2,3.7,,,1.1,4.9,14.2,27,5.9,4.7,7.9,13.69,38.44,22.94
Romania,6.2,6.3,,,1.5,11.1,1,49.6,3.1,5.3,2.8,39.69,38.44,39.06
Spain,7.1,3.4,,,3.1,8.6,7,29.2,5.7,5.9,7.2,11.56,50.41,24.14
Sweden,9.9,7.8,,,3.5,24.7,7.5,19.5,3.7,1.4,2,60.84,98.01,77.22
Switzerland,13.1,10.1,,,3.1,23.8,2.3,25.6,2.8,2.4,4.9,102.01,171.61,132.31
UK,17.4,5.7,,,4.7,20.6,4.3,24.3,4.7,3.4,3.3,32.49,302.76,99.18
USSR,9.3,4.6,,,2.1,16.6,3,43.6,6.4,3.4,2.9,21.16,86.49,42.78
W Germany,11.4,12.5,,,4.1,18.8,3.4,18.6,5.2,1.5,3.8,156.25,129.96,142.5
Yugoslavia,4.4,5,,,1.2,9.5,0.6,55.9,3,5.7,3.2,25,19.36,22
,245.7,197.4,,,,,,,,,,1886.18,2683.61,1985.45
,60368.49,38966.76,,,,,,,,,,25,25,25
,,,,,,,,,,,,47154.5,67090.25,49636.25
,,,,,,,,,,,,,,
,,48501.18,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,6721.76,8187.74,,,,,,,,,,,
,,,55036023.22,,,,,,,,,,,
,,,7418.626775,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Column 1,Column 2,,,,,,,,,,,,
Column 1,1,,,,,,,,,,,,,
Column 2,0.15300271,1,,,,,,,,,,,,
